"","Sensor","Date_Time","Date","Time","Count"
"202","Flagstaff Station",2017-07-01 03:00:00,2017-07-01,3,0
"203","Sandridge Bridge",2017-07-01 03:00:00,2017-07-01,3,77
"204","State Library",2017-07-01 03:00:00,2017-07-01,3,66
"205","Collins St (North)",2017-07-01 03:00:00,2017-07-01,3,42
"206","Collins Place (South)",2017-07-01 03:00:00,2017-07-01,3,9
"207","Collins Place (North)",2017-07-01 03:00:00,2017-07-01,3,14
"208","Chinatown-Swanston St (North)",2017-07-01 03:00:00,2017-07-01,3,93
"209","Chinatown-Lt Bourke St (South)",2017-07-01 03:00:00,2017-07-01,3,110
"210","Bourke St-Russell St (West)",2017-07-01 03:00:00,2017-07-01,3,348
"211","Flinders St-Elizabeth St (East)",2017-07-01 03:00:00,2017-07-01,3,260
"212","Spencer St-Collins St (South)",2017-07-01 03:00:00,2017-07-01,3,44
"213","Spencer St-Collins St (North)",2017-07-01 03:00:00,2017-07-01,3,79
"214","Melbourne Convention Exhibition Centre",2017-07-01 03:00:00,2017-07-01,3,7
"215","QV Market-Elizabeth St (West)",2017-07-01 03:00:00,2017-07-01,3,100
"216","QV Market-Peel St",2017-07-01 03:00:00,2017-07-01,3,19
"217","The Arts Centre",2017-07-01 03:00:00,2017-07-01,3,59
"218","St Kilda Rd-Alexandra Gardens",2017-07-01 03:00:00,2017-07-01,3,10
"219","Lonsdale St (South)",2017-07-01 03:00:00,2017-07-01,3,227
"220","Lygon St (West)",2017-07-01 03:00:00,2017-07-01,3,21
"221","City Square",2017-07-01 03:00:00,2017-07-01,3,NA
"222","Flinders St-Spring St (West)",2017-07-01 03:00:00,2017-07-01,3,10
"223","Flinders St-Spark La",2017-07-01 03:00:00,2017-07-01,3,9
"224","Southbank",2017-07-01 03:00:00,2017-07-01,3,114
"225","Queen St (West)",2017-07-01 03:00:00,2017-07-01,3,142
"226","Lygon St (East)",2017-07-01 03:00:00,2017-07-01,3,13
"227","Alfred Place",2017-07-01 03:00:00,2017-07-01,3,5
"228","Lonsdale St-Spring St (West)",2017-07-01 03:00:00,2017-07-01,3,0
"229","Grattan St-Swanston St (West)",2017-07-01 03:00:00,2017-07-01,3,7
"230","Monash Rd-Swanston St (West)",2017-07-01 03:00:00,2017-07-01,3,4
"231","Tin Alley-Swanston St (West)",2017-07-01 03:00:00,2017-07-01,3,2
